cell_type cell_id component component_id X Y Z inner_radius outer_radius
axon 2 axon 0 2.41838 13.7109 25.5303 2.27162 2.27162
axon 2 axon 0 2.46912 13.7872 26.1169 2.29743 2.29743
axon 2 axon 0 2.51987 13.8635 26.7035 2.32324 2.32324
axon 2 axon 0 2.57061 13.9398 27.2901 2.34906 2.34906
axon 2 axon 0 2.62135 14.0161 27.8767 2.37487 2.37487
axon 2 axon 0 2.67297 14.0937 28.4734 2.3851 2.3851
axon 2 axon 0 2.72458 14.1713 29.0701 2.39533 2.39533
axon 2 axon 0 2.7762 14.2489 29.6668 2.40556 2.40556
axon 2 axon 0 2.82781 14.3265 30.2635 2.41578 2.41578
axon 2 axon 0 2.87965 14.4045 30.8628 2.41841 2.41841
axon 2 axon 0 2.93149 14.4824 31.4621 2.42104 2.42104
axon 2 axon 0 2.98333 14.5604 32.0614 2.42366 2.42366
axon 2 axon 0 3.03518 14.6383 32.6607 2.42629 2.42629
axon 2 axon 0 2.9994 14.6479 33.2789 2.439 2.439
axon 2 axon 0 2.96363 14.6574 33.8971 2.45171 2.45171
axon 2 axon 0 2.92785 14.6669 34.5153 2.46441 2.46441
axon 2 axon 0 2.89208 14.6765 35.1334 2.47712 2.47712
axon 2 axon 0 2.8563 14.686 35.7516 2.47094 2.47094
axon 2 axon 0 2.82053 14.6955 36.3698 2.71124 2.71124
axon 2 axon 0 2.78475 14.7051 36.988 2.70445 2.70445
axon 2 axon 0 2.74898 14.7146 37.6061 2.69765 2.69765
axon 2 axon 0 2.71356 14.7241 38.2181 2.68839 2.68839
axon 2 axon 0 2.67814 14.7335 38.8301 2.67913 2.67913
axon 2 axon 0 2.64272 14.7429 39.4421 2.66987 2.66987
axon 2 axon 0 2.60731 14.7524 40.0542 2.66061 2.66061
axon 2 axon 0 2.57155 14.7619 40.672 2.67633 2.67633
axon 2 axon 0 2.53579 14.7714 41.2899 2.69204 2.69204
axon 2 axon 0 2.50004 14.781 41.9077 2.70776 2.70776
axon 2 axon 0 2.46428 14.7905 42.5256 2.72347 2.72347
axon 2 axon 0 2.4278 14.8002 43.156 2.7373 2.7373
axon 2 axon 0 2.39131 14.8099 43.7864 2.75113 2.75113
axon 2 axon 0 2.35483 14.8197 44.4168 2.76496 2.76496
axon 2 axon 0 2.31835 14.8294 45.0473 2.77879 2.77879
axon 2 axon 0 2.28186 14.8391 45.6777 2.75059 2.75059
axon 2 axon 0 2.24538 14.8488 46.3081 2.7224 2.7224
axon 2 axon 0 2.2089 14.8585 46.9385 2.6942 2.6942
axon 2 axon 0 2.17242 14.8683 47.5689 2.66601 2.66601
axon 2 axon 0 2.13741 14.8776 48.1737 2.65804 2.65804
axon 2 axon 0 2.10241 14.8869 48.7786 2.65007 2.65007
axon 2 axon 0 2.06741 14.8962 49.3834 2.6421 2.6421
axon 2 axon 0 2.03241 14.9056 49.9882 2.63413 2.63413
axon 3 axon 0 39.8846 30.1315 0 2.27423 2.27423
axon 3 axon 0 39.8604 30.0892 0.566468 2.25601 2.25601
axon 3 axon 0 39.8363 30.0469 1.13294 2.23779 2.23779
axon 3 axon 0 39.8122 30.0046 1.6994 2.21957 2.21957
axon 3 axon 0 39.7881 29.9623 2.26587 2.20135 2.20135
axon 3 axon 0 39.7638 29.9199 2.83469 2.22192 2.22192
axon 3 axon 0 39.7396 29.8774 3.4035 2.2425 2.2425
axon 3 axon 0 39.7154 29.8349 3.97232 2.48939 2.48939
axon 3 axon 0 39.6912 29.7925 4.54114 2.51202 2.51202
axon 3 axon 0 39.6662 29.7487 5.12724 2.53111 2.53111
axon 3 axon 0 39.6413 29.7049 5.71335 2.5502 2.5502
axon 3 axon 0 39.6163 29.6612 6.29945 2.56929 2.56929
axon 3 axon 0 39.5914 29.6174 6.88556 2.58837 2.58837
axon 3 axon 0 39.5664 29.5737 7.47166 2.57329 2.57329
axon 3 axon 0 39.5414 29.5299 8.05777 2.55821 2.55821
axon 3 axon 0 39.5165 29.4861 8.64388 2.54313 2.54313
axon 3 axon 0 39.4915 29.4424 9.22998 2.52805 2.52805
axon 3 axon 0 39.467 29.3994 9.80562 2.53157 2.53157
axon 3 axon 0 39.4425 29.3564 10.3813 2.5351 2.5351
axon 3 axon 0 39.418 29.3134 10.9569 2.30784 2.30784
axon 3 axon 0 39.3935 29.2705 11.5325 2.31104 2.31104
axon 3 axon 0 39.3688 29.2272 12.1121 2.31497 2.31497
axon 3 axon 0 39.3441 29.1839 12.6916 2.31889 2.31889
axon 3 axon 0 39.3194 29.1406 13.2712 2.32281 2.32281
axon 3 axon 0 39.2948 29.0974 13.8507 2.32674 2.32674
axon 3 axon 0 39.2699 29.0538 14.4337 2.33021 2.33021
axon 3 axon 0 39.2451 29.0103 15.0167 2.33369 2.33369
axon 3 axon 0 39.2203 28.9668 15.5998 2.33716 2.33716
axon 3 axon 0 39.1955 28.9233 16.1828 2.34064 2.34064
axon 3 axon 0 39.2558 29.0246 16.7559 2.33459 2.33459
axon 3 axon 0 39.3161 29.126 17.3291 2.32854 2.32854
axon 3 axon 0 39.3764 29.2274 17.9022 2.3225 2.3225
axon 3 axon 0 39.4367 29.3287 18.4754 2.54809 2.54809
axon 3 axon 0 39.4987 29.4329 19.0641 2.57222 2.57222
axon 3 axon 0 39.5606 29.537 19.6528 2.36032 2.36032
axon 3 axon 0 39.6226 29.6411 20.2415 2.38226 2.38226
axon 3 axon 0 39.6845 29.7452 20.8302 2.4042 2.4042
axon 3 axon 0 39.7472 29.8505 21.4253 2.41073 2.41073
axon 3 axon 0 39.8098 29.9558 22.0204 2.41727 2.41727
axon 3 axon 0 39.8724 30.061 22.6155 2.4238 2.4238
axon 3 axon 0 39.935 30.1663 23.2106 2.43033 2.43033
axon 3 axon 0 39.9977 30.2715 23.8057 2.42052 2.42052
axon 3 axon 0 40.0603 30.3768 24.4009 2.4107 2.4107
axon 3 axon 0 40.1229 30.482 24.996 2.40088 2.40088
axon 3 axon 0 40.1856 30.5873 25.5911 2.39107 2.39107
axon 3 axon 0 40.2483 30.6927 26.1873 2.40198 2.40198
axon 3 axon 0 40.311 30.7982 26.7834 2.41289 2.41289
axon 3 axon 0 40.3738 30.9036 27.3796 2.4238 2.4238
axon 3 axon 0 40.4365 31.0091 27.9758 2.43472 2.43472
axon 3 axon 0 40.5015 31.1184 28.5937 2.45687 2.45687
axon 3 axon 0 40.5666 31.2277 29.2116 2.47901 2.47901
axon 3 axon 0 40.6316 31.3369 29.8294 2.50116 2.50116
axon 3 axon 0 40.6966 31.4462 30.4473 2.52331 2.52331
axon 3 axon 0 40.7623 31.5566 31.0712 2.52946 2.52946
axon 3 axon 0 40.8279 31.6669 31.6951 2.5356 2.5356
axon 3 axon 0 40.8936 31.7773 32.319 2.54175 2.54175
axon 3 axon 0 40.9592 31.8876 32.9429 2.54789 2.54789
axon 3 axon 0 40.9179 31.8201 33.5987 2.57151 2.57151
axon 3 axon 0 40.8766 31.7526 34.2546 2.59514 2.59514
axon 3 axon 0 40.8353 31.685 34.9104 2.61876 2.61876
axon 3 axon 0 40.794 31.6175 35.5662 2.64238 2.64238
axon 3 axon 0 40.7526 31.55 36.2221 2.6394 2.6394
axon 3 axon 0 40.7113 31.4825 36.8779 2.63642 2.63642
axon 3 axon 0 40.67 31.415 37.5338 2.63344 2.63344
axon 3 axon 0 40.6287 31.3474 38.1896 2.63046 2.63046
axon 3 axon 0 40.5875 31.2802 38.8425 2.63011 2.63011
axon 3 axon 0 40.5464 31.213 39.4953 2.62976 2.62976
axon 3 axon 0 40.5053 31.1458 40.1482 2.6294 2.6294
axon 3 axon 0 40.4641 31.0786 40.8011 2.62905 2.62905
axon 3 axon 0 40.423 31.0114 41.4536 2.62036 2.62036
axon 3 axon 0 40.3819 30.9442 42.1061 2.61167 2.61167
axon 3 axon 0 40.3408 30.877 42.7587 2.86327 2.86327
axon 3 axon 0 40.2997 30.8099 43.4112 2.85371 2.85371
axon 3 axon 0 40.258 30.7418 44.0721 2.61142 2.61142
axon 3 axon 0 40.2164 30.6738 44.733 2.62856 2.62856
axon 3 axon 0 40.1748 30.6057 45.3939 2.64569 2.64569
axon 3 axon 0 40.1331 30.5377 46.0548 2.66283 2.66283
axon 3 axon 0 40.0912 30.4692 46.7199 2.66705 2.66705
axon 3 axon 0 40.0493 30.4007 47.385 2.67127 2.67127
axon 3 axon 0 40.0074 30.3323 48.0501 2.6755 2.6755
axon 3 axon 0 39.9655 30.2638 48.7152 2.67972 2.67972
axon 4 axon 0 40.1278 11.9375 0 2.45641 2.45641
axon 4 axon 0 40.1745 11.9272 0.556226 2.45144 2.45144
axon 4 axon 0 40.2211 11.9169 1.11245 2.44647 2.44647
axon 4 axon 0 40.2678 11.9065 1.66868 2.4415 2.4415
axon 4 axon 0 40.3144 11.8962 2.2249 2.43653 2.43653
axon 4 axon 0 40.3607 11.886 2.77663 2.42431 2.42431
axon 4 axon 0 40.4069 11.8757 3.32836 2.41208 2.41208
axon 4 axon 0 40.4532 11.8655 3.88008 2.39985 2.39985
axon 4 axon 0 40.4995 11.8553 4.43181 2.38763 2.38763
axon 4 axon 0 40.5448 11.8452 4.97246 2.38548 2.38548
axon 4 axon 0 40.5902 11.8352 5.51311 2.16666 2.16666
axon 4 axon 0 40.6355 11.8252 6.05376 2.16471 2.16471
axon 4 axon 0 40.6809 11.8151 6.59441 2.16276 2.16276
axon 4 axon 0 40.7272 11.8049 7.1462 2.17589 2.17589
axon 4 axon 0 40.7734 11.7947 7.69799 2.18902 2.18902
axon 4 axon 0 40.8197 11.7844 8.24978 2.20216 2.20216
axon 4 axon 0 40.866 11.7742 8.80157 2.21529 2.21529
axon 4 axon 0 40.913 11.7638 9.3621 2.22406 2.22406
axon 4 axon 0 40.96 11.7534 9.92262 2.23282 2.23282
axon 4 axon 0 41.007 11.743 10.4831 2.24159 2.24159
axon 4 axon 0 41.054 11.7326 11.0437 2.25036 2.25036
axon 4 axon 0 41.101 11.7222 11.6042 2.24615 2.24615
axon 4 axon 0 41.1481 11.7118 12.1647 2.24195 2.24195
axon 4 axon 0 41.1951 11.7014 12.7252 2.23775 2.23775
axon 4 axon 0 41.2421 11.691 13.2858 2.23355 2.23355
axon 4 axon 0 41.2895 11.6805 13.8517 2.24317 2.24317
axon 4 axon 0 41.337 11.67 14.4176 2.25279 2.25279
axon 4 axon 0 41.3845 11.6595 14.9835 2.26241 2.26241
axon 4 axon 0 41.4319 11.649 15.5495 2.27203 2.27203
axon 4 axon 0 41.3863 11.7044 16.1163 2.27537 2.27537
axon 4 axon 0 41.3408 11.7598 16.6831 2.50657 2.50657
axon 4 axon 0 41.2952 11.8152 17.2499 2.51023 2.51023
axon 4 axon 0 41.2496 11.8707 17.8167 2.5139 2.5139
axon 4 axon 0 41.203 11.9272 18.3953 2.29724 2.29724
axon 4 axon 0 41.1565 11.9838 18.9739 2.30912 2.30912
axon 4 axon 0 41.11 12.0404 19.5525 2.321 2.321
axon 4 axon 0 41.0634 12.097 20.1311 2.33287 2.33287
axon 4 axon 0 41.0167 12.1538 20.7119 2.33503 2.33503
axon 4 axon 0 40.97 12.2106 21.2926 2.57091 2.57091
axon 4 axon 0 40.9233 12.2673 21.8733 2.57328 2.57328
axon 4 axon 0 40.8766 12.3241 22.4541 2.57565 2.57565
axon 4 axon 0 40.8275 12.3838 23.0646 2.6087 2.6087
axon 4 axon 0 40.7784 12.4435 23.6752 2.64175 2.64175
axon 4 axon 0 40.7293 12.5032 24.2857 2.67481 2.67481
axon 4 axon 0 40.6801 12.5629 24.8963 2.70786 2.70786
axon 4 axon 0 40.631 12.6226 25.5068 2.70516 2.70516
axon 4 axon 0 40.5819 12.6823 26.1174 2.70247 2.70247
axon 4 axon 0 40.5328 12.7421 26.7279 2.69978 2.69978
axon 4 axon 0 40.4837 12.8018 27.3385 2.69708 2.69708
axon 4 axon 0 40.4343 12.8618 27.9525 2.7036 2.7036
axon 4 axon 0 40.3849 12.9218 28.5665 2.71011 2.71011
